season,bowler,matches,balls_bowled,runs_conceded,wickets,dot_balls,maidens,three_wicket_hauls,four_wicket_hauls,five_wicket_hauls,economy,bowling_average,bowling_strike_rate,dot_ball_percentage,overs,best_bowling_figures
2021,M Markande,1,18,26,0,4,0,0,0,0,8.67,,,22.22,3.0,0/26
2021,M Prasidh Krishna,10,231,349,12,102,0,1,0,0,9.06,29.08,19.25,44.16,38.3,3/30
2021,MC Henriques,5,60,45,4,31,0,1,0,0,4.5,11.25,15.0,51.67,10.0,3/12
2021,MK Lomror,4,42,47,1,13,0,0,0,0,6.71,47.0,42.0,30.95,7.0,1/22
2021,MM Ali,10,152,161,6,50,0,1,0,0,6.36,26.83,25.33,32.89,25.2,3/7
2021,MP Stoinis,8,67,117,2,17,0,0,0,0,10.48,58.5,33.5,25.37,11.1,1/7
2021,Mohammad Nabi,3,48,86,2,13,0,0,0,0,10.75,43.0,24.0,27.08,8.0,2/32
2021,Mohammed Shami,14,316,395,19,145,1,2,0,0,7.5,20.79,16.63,45.89,52.4,3/21
2021,Mohammed Siraj,15,312,353,11,147,1,1,0,0,6.79,32.09,28.36,47.12,52.0,3/27
2021,Mujeeb Ur Rahman,1,24,29,2,10,0,0,0,0,7.25,14.5,12.0,41.67,4.0,2/29
2021,Mustafizur Rahman,14,311,435,14,113,0,1,0,0,8.39,31.07,22.21,36.33,51.5,3/20
2021,N Rana,2,12,12,0,5,0,0,0,0,6.0,,,41.67,2.0,0/5
2021,NM Coulter-Nile,5,120,127,7,53,0,1,1,0,6.35,18.14,17.14,44.17,20.0,4/14
2021,NT Ellis,3,66,90,1,24,0,0,0,0,8.18,90.0,66.0,36.36,11.0,1/12
2021,Navdeep Saini,2,24,52,0,5,0,0,0,0,13.0,,,20.83,4.0,0/25
2021,PJ Cummins,7,161,236,9,60,0,1,0,0,8.8,26.22,17.89,37.27,26.5,3/24
2021,PP Chawla,1,24,38,1,3,0,0,0,0,9.5,38.0,24.0,12.5,4.0,1/38
2021,PWH de Silva,2,36,60,0,11,0,0,0,0,10.0,,,30.56,6.0,0/20
2021,R Ashwin,13,268,330,7,95,0,0,0,0,7.39,47.14,38.29,35.45,44.4,2/27
2021,R Parag,6,37,73,1,7,0,0,0,0,11.84,73.0,37.0,18.92,6.1,1/7
2021,R Tewatia,13,222,340,8,50,0,1,0,0,9.19,42.5,27.75,22.52,37.0,3/39
2021,RA Jadeja,16,294,346,13,104,1,1,0,0,7.06,26.62,22.62,35.37,49.0,3/13
2021,RD Chahar,11,258,318,13,93,0,2,1,0,7.4,24.46,19.85,36.05,43.0,4/27
2021,RG Sharma,2,7,13,0,0,0,0,0,0,11.14,,,0.0,1.1,0/4
2021,RP Meredith,5,102,168,4,38,0,0,0,0,9.88,42.0,25.5,37.25,17.0,1/29
2021,RV Patel,1,18,22,0,5,0,0,0,0,7.33,,,27.78,3.0,0/22
2021,Rashid Khan,14,342,380,18,134,0,1,0,0,6.67,21.11,19.0,39.18,57.0,3/36
2021,Ravi Bishnoi,9,216,230,12,87,0,1,0,0,6.39,19.17,18.0,40.28,36.0,3/24
2021,S Dube,4,30,49,0,7,0,0,0,0,9.8,,,23.33,5.0,0/5
2021,S Gopal,3,42,84,0,11,0,0,0,0,12.0,,,26.19,7.0,0/9
2021,S Kaul,8,180,247,7,70,1,0,0,0,8.23,35.29,25.71,38.89,30.0,2/31
2021,S Nadeem,1,24,36,1,9,0,0,0,0,9.0,36.0,24.0,37.5,4.0,1/36
2021,S Sandeep Warrier,1,12,15,0,6,0,0,0,0,7.5,,,50.0,2.0,0/15
2021,SM Curran,9,198,328,9,76,0,1,0,0,9.94,36.44,22.0,38.38,33.0,3/34
2021,SN Thakur,16,359,521,21,137,1,2,0,0,8.71,24.81,17.1,38.16,59.5,3/28
2021,SP Narine,14,336,361,16,131,0,2,1,0,6.45,22.56,21.0,38.99,56.0,4/21
2021,Sandeep Sharma,7,141,203,3,52,0,0,0,0,8.64,67.67,47.0,36.88,23.3,1/20
2021,Shahbaz Ahmed,6,84,92,7,21,0,1,0,0,6.57,13.14,12.0,25.0,14.0,3/7
2021,Shakib Al Hasan,8,156,187,4,50,0,0,0,0,7.19,46.75,39.0,32.05,26.0,1/1
2021,Shivam Mavi,9,193,233,11,91,0,1,1,0,7.24,21.18,17.55,47.15,32.1,4/21
2021,T Natarajan,2,48,69,2,14,0,0,0,0,8.62,34.5,24.0,29.17,8.0,1/32
2021,T Shamsi,1,24,34,0,2,0,0,0,0,8.5,,,8.33,4.0,0/34
2021,TA Boult,14,308,406,13,138,1,1,0,0,7.91,31.23,23.69,44.81,51.2,3/28
2021,TG Southee,3,72,95,3,23,0,0,0,0,7.92,31.67,24.0,31.94,12.0,2/26
2021,TK Curran,3,68,104,4,19,0,1,0,0,9.18,26.0,17.0,27.94,11.2,3/29
2021,Umran Malik,3,72,96,2,31,0,0,0,0,8.0,48.0,36.0,43.06,12.0,1/21
2021,V Shankar,5,66,100,3,22,0,0,0,0,9.09,33.33,22.0,33.33,11.0,2/19
2021,VR Iyer,4,51,69,3,14,0,0,0,0,8.12,23.0,17.0,27.45,8.3,2/29
2021,Washington Sundar,6,96,118,3,32,0,0,0,0,7.38,39.33,32.0,33.33,16.0,1/7
2021,YS Chahal,15,318,374,18,127,1,2,0,0,7.06,20.78,17.67,39.94,53.0,3/11
2022,A Badoni,2,12,11,2,4,0,0,0,0,5.5,5.5,6.0,33.33,2.0,1/5
2022,A Nortje,6,134,216,9,49,0,1,0,0,9.67,24.0,14.89,36.57,22.2,3/42
2022,AD Russell,13,169,278,17,58,0,2,1,0,9.87,16.35,9.94,34.32,28.1,4/5
2022,AF Milne,1,15,19,0,9,0,0,0,0,7.6,,,60.0,2.3,0/19
2022,AJ Tye,3,66,107,2,24,0,0,0,0,9.73,53.5,33.0,36.36,11.0,2/40
2022,AK Markram,4,36,64,1,8,0,0,0,0,10.67,64.0,36.0,22.22,6.0,1/8
2022,AR Patel,13,258,321,6,86,0,0,0,0,7.47,53.5,43.0,33.33,43.0,2/10
2022,AS Joseph,9,180,264,7,72,0,0,0,0,8.8,37.71,25.71,40.0,30.0,2/34
2022,AS Roy,2,42,55,1,11,0,0,0,0,7.86,55.0,42.0,26.19,7.0,1/28
2022,Abdul Samad,1,6,8,0,1,0,0,0,0,8.0,,,16.67,1.0,0/8
2022,Abhishek Sharma,3,24,38,0,4,0,0,0,0,9.5,,,16.67,4.0,0/10
2022,Akash Deep,5,113,203,5,40,1,1,0,0,10.78,40.6,22.6,35.4,18.5,3/45
2022,Aman Hakim Khan,1,6,13,0,1,0,0,0,0,13.0,,,16.67,1.0,0/13
2022,Arshdeep Singh,14,300,385,10,110,0,1,0,0,7.7,38.5,30.0,36.67,50.0,3/37
2022,Avesh Khan,13,286,416,18,126,1,3,1,0,8.73,23.11,15.89,44.06,47.4,4/24
2022,B Kumar,14,313,382,12,139,2,1,0,0,7.32,31.83,26.08,44.41,52.1,3/22
2022,Basil Thampi,5,96,152,5,41,1,1,0,0,9.5,30.4,19.2,42.71,16.0,3/35
2022,C Sakariya,3,66,84,3,21,0,0,0,0,7.64,28.0,22.0,31.82,11.0,2/23
2022,CJ Jordan,4,77,135,2,23,0,0,0,0,10.52,67.5,38.5,29.87,12.5,2/23
2022,CV Varun,11,234,332,6,88,0,0,0,0,8.51,55.33,39.0,37.61,39.0,1/22
2022,D Brevis,1,3,8,1,1,0,0,0,0,16.0,8.0,3.0,33.33,0.3,1/8
2022,D Pretorius,6,126,209,6,37,0,0,0,0,9.95,34.83,21.0,29.37,21.0,2/30
2022,DG Nalkande,2,31,59,2,8,0,0,0,0,11.42,29.5,15.5,25.81,5.1,2/37
2022,DJ Bravo,10,206,297,16,70,1,2,0,0,8.65,18.56,12.88,33.98,34.2,3/20
2022,DJ Hooda,2,24,43,1,5,0,0,0,0,10.75,43.0,24.0,20.83,4.0,1/31
2022,DJ Mitchell,2,12,27,0,1,0,0,0,0,13.5,,,8.33,2.0,0/7
2022,DJ Willey,4,66,72,1,27,0,0,0,0,6.55,72.0,66.0,40.91,11.0,1/29
2022,DR Sams,11,252,367,13,107,0,2,1,0,8.74,28.23,19.38,42.46,42.0,4/30
2022,FA Allen,1,24,46,1,6,0,0,0,0,11.5,46.0,24.0,25.0,4.0,1/46
2022,Fazalhaq Farooqi,3,72,110,2,24,0,0,0,0,9.17,55.0,36.0,33.33,12.0,2/32
2022,GJ Maxwell,10,144,165,6,63,1,0,0,0,6.88,27.5,24.0,43.75,24.0,2/22
2022,HH Pandya,10,183,222,8,76,0,1,0,0,7.28,27.75,22.88,41.53,30.3,3/17
2022,HR Shokeen,5,90,127,2,43,0,0,0,0,8.47,63.5,45.0,47.78,15.0,2/47
2022,HV Patel,15,321,410,19,130,2,2,1,0,7.66,21.58,16.89,40.5,53.3,4/34
2022,Harpreet Brar,5,96,146,4,38,0,1,0,0,9.12,36.5,24.0,39.58,16.0,3/26
2022,Harshit Rana,2,30,51,1,12,0,0,0,0,10.2,51.0,30.0,40.0,5.0,1/24
2022,J Suchith,5,108,140,7,49,0,0,0,0,7.78,20.0,15.43,45.37,18.0,2/12
2022,JD Unadkat,5,120,190,6,36,0,0,0,0,9.5,31.67,20.0,30.0,20.0,2/32
2022,JDS Neesham,1,18,29,0,5,0,0,0,0,9.67,,,27.78,3.0,0/29
2022,JJ Bumrah,14,320,382,15,139,2,3,1,1,7.16,25.47,21.33,43.44,53.2,5/10
2022,JO Holder,12,249,391,14,77,0,2,0,0,9.42,27.93,17.79,30.92,41.3,3/31
2022,JR Hazlewood,12,279,376,20,123,1,3,1,0,8.09,18.8,13.95,44.09,46.3,4/25
2022,K Gowtham,4,72,99,5,33,1,0,0,0,8.25,19.8,14.4,45.83,12.0,2/30
2022,K Kartikeya,4,78,102,5,30,0,0,0,0,7.85,20.4,15.6,38.46,13.0,2/22
2022,K Rabada,13,288,405,23,133,0,3,2,0,8.44,17.61,12.52,46.18,48.0,4/32
2022,KA Pollard,6,84,125,4,21,0,0,0,0,8.93,31.25,21.0,25.0,14.0,2/8
2022,KH Pandya,12,228,265,10,72,1,1,0,0,6.97,26.5,22.8,31.58,38.0,3/19
2022,KK Ahmed,10,235,315,16,110,0,2,0,0,8.04,19.69,14.69,46.81,39.1,3/25
2022,KL Nagarkoti,1,12,29,0,4,0,0,0,0,14.5,,,33.33,2.0,0/29
2022,KR Sen,7,151,237,8,59,0,1,1,0,9.42,29.62,18.88,39.07,25.1,4/20
2022,Kartik Tyagi,2,48,79,1,20,0,0,0,0,9.88,79.0,48.0,41.67,8.0,1/42
2022,Kuldeep Yadav,14,298,418,21,97,0,3,2,0,8.42,19.9,14.19,32.55,49.4,4/14
2022,LH Ferguson,13,286,427,12,116,0,2,1,0,8.96,35.58,23.83,40.56,47.4,4/28
2022,LS Livingstone,12,138,202,6,38,0,1,0,0,8.78,33.67,23.0,27.54,23.0,3/27
2022,Lalit Yadav,8,108,150,4,38,0,0,0,0,8.33,37.5,27.0,35.19,18.0,2/11
2022,M Ashwin,8,174,228,9,69,0,0,0,0,7.86,25.33,19.33,39.66,29.0,2/14
2022,M Jansen,8,192,273,7,83,0,1,0,0,8.53,39.0,27.43,43.23,32.0,3/24
2022,M Markande,2,42,57,1,11,0,0,0,0,8.14,57.0,42.0,26.19,7.0,1/26
2022,M Pathirana,2,41,52,2,20,0,0,0,0,7.61,26.0,20.5,48.78,6.5,2/24
2022,M Prasidh Krishna,17,399,548,19,200,3,2,0,0,8.24,28.84,21.0,50.13,66.3,3/22
2022,M Theekshana,9,210,261,12,68,0,2,1,0,7.46,21.75,17.5,32.38,35.0,4/33
2022,MJ Santner,6,114,130,4,43,0,0,0,0,6.84,32.5,28.5,37.72,19.0,1/15
2022,MK Lomror,2,12,18,0,3,0,0,0,0,9.0,,,25.0,2.0,0/7
2022,MM Ali,10,143,158,8,56,0,1,0,0,6.63,19.75,17.88,39.16,23.5,3/13
2022,MP Stoinis,5,42,79,4,13,0,1,0,0,11.29,19.75,10.5,30.95,7.0,3/23
2022,MR Marsh,4,72,102,4,25,0,0,0,0,8.5,25.5,18.0,34.72,12.0,2/25
2022,Mohammed Shami,16,366,488,20,172,0,2,0,0,8.0,24.4,18.3,46.99,61.0,3/25
2022,Mohammed Siraj,15,306,513,9,129,0,0,0,0,10.06,57.0,34.0,42.16,51.0,2/30
2022,Mohsin Khan,9,198,197,14,107,2,3,1,0,5.97,14.07,14.14,54.04,33.0,4/16
2022,Mukesh Choudhary,13,273,421,16,119,0,3,1,0,9.25,26.31,17.06,43.59,45.3,4/46
2022,Mustafizur Rahman,8,192,243,8,76,0,2,0,0,7.59,30.38,24.0,39.58,32.0,3/18
2022,N Rana,2,12,23,0,1,0,0,0,0,11.5,,,8.33,2.0,0/9
2022,NM Coulter-Nile,1,18,48,0,4,0,0,0,0,16.0,,,22.22,3.0,0/48
2022,NT Ellis,2,36,55,3,16,0,1,0,0,9.17,18.33,12.0,44.44,6.0,3/40
2022,Navdeep Saini,2,36,72,3,10,0,0,0,0,12.0,24.0,12.0,27.78,6.0,2/36
2022,OC McCoy,7,155,234,11,48,0,1,0,0,9.06,21.27,14.09,30.97,25.5,3/23
2022,OF Smith,6,90,178,6,36,0,1,1,0,11.87,29.67,15.0,40.0,15.0,4/30
2022,PH Solanki,2,36,38,2,12,0,0,0,0,6.33,19.0,18.0,33.33,6.0,2/20
2022,PJ Cummins,5,119,212,7,37,0,1,0,0,10.69,30.29,17.0,31.09,19.5,3/22
2022,PJ Sangwan,3,54,65,3,22,0,0,0,0,7.22,21.67,18.0,40.74,9.0,2/19
2022,PVD Chameera,12,264,384,9,122,0,0,0,0,8.73,42.67,29.33,46.21,44.0,2/17
2022,PWH de Silva,16,342,430,26,143,1,2,2,1,7.54,16.54,13.15,41.81,57.0,5/18
2022,R Ashwin,17,402,502,12,122,0,1,0,0,7.49,41.83,33.5,30.35,67.0,3/17
2022,R Dhawan,6,114,156,6,33,0,0,0,0,8.21,26.0,19.0,28.95,19.0,2/36
2022,R Parag,4,24,59,1,3,0,0,0,0,14.75,59.0,24.0,12.5,4.0,1/12
2022,R Powell,1,6,17,0,0,0,0,0,0,17.0,,,0.0,1.0,0/17
2022,R Sai Kishore,5,96,121,6,27,0,0,0,0,7.56,20.17,16.0,28.12,16.0,2/7
2022,R Sanjay Yadav,1,12,23,0,6,0,0,0,0,11.5,,,50.0,2.0,0/23
2022,R Shepherd,3,54,98,3,23,0,0,0,0,10.89,32.67,18.0,42.59,9.0,2/42
2022,R Tewatia,5,36,76,0,6,0,0,0,0,12.67,,,16.67,6.0,0/9
2022,RA Jadeja,10,198,248,5,65,0,1,0,0,7.52,49.6,39.6,32.83,33.0,3/39
2022,RD Chahar,13,280,360,14,99,1,1,0,0,7.71,25.71,20.0,35.36,46.4,3/25
2022,RP Meredith,8,168,235,8,76,0,0,0,0,8.39,29.38,21.0,45.24,28.0,2/24
2022,Ramandeep Singh,3,36,53,6,13,0,1,0,0,8.83,8.83,6.0,36.11,6.0,3/20
2022,Rashid Khan,16,383,421,19,127,0,2,1,0,6.6,22.16,20.16,33.16,63.5,4/24
2022,Rasikh Salam,2,24,28,0,8,0,0,0,0,7.0,,,33.33,4.0,0/10
2022,Ravi Bishnoi,14,324,456,13,113,0,0,0,0,8.44,35.08,24.92,34.88,54.0,2/22
2022,S Dube,2,12,35,0,1,0,0,0,0,17.5,,,8.33,2.0,0/11
2022,S Gopal,1,18,34,1,7,0,0,0,0,11.33,34.0,18.0,38.89,3.0,1/34
2022,S Kaul,1,24,43,0,6,0,0,0,0,10.75,,,25.0,4.0,0/43
2022,SA Abbott,1,24,47,1,7,0,0,0,0,11.75,47.0,24.0,29.17,4.0,1/47
2022,SN Thakur,14,290,472,15,109,1,2,1,0,9.77,31.47,19.33,37.59,48.2,4/35
2022,SP Narine,14,336,312,9,142,0,0,0,0,5.57,34.67,37.33,42.26,56.0,2/21
2022,SS Iyer,1,6,7,0,4,0,0,0,0,7.0,,,66.67,1.0,0/7
2022,Sandeep Sharma,5,120,153,2,60,0,0,0,0,7.65,76.5,60.0,50.0,20.0,1/18
2022,Shahbaz Ahmed,14,210,335,4,58,0,0,0,0,9.57,83.75,52.5,27.62,35.0,2/26
2022,Shashank Singh,2,12,20,0,1,0,0,0,0,10.0,,,8.33,2.0,0/10
2022,Shivam Mavi,6,132,227,5,49,0,0,0,0,10.32,45.4,26.4,37.12,22.0,1/33
2022,Simarjeet Singh,6,108,138,4,57,0,0,0,0,7.67,34.5,27.0,52.78,18.0,2/27
2022,T Natarajan,11,258,406,18,82,0,2,0,0,9.44,22.56,14.33,31.78,43.0,3/10
2022,TA Boult,16,372,492,16,176,3,0,0,0,7.94,30.75,23.25,47.31,62.0,2/18
2022,TG Southee,9,210,275,14,93,0,2,0,0,7.86,19.64,15.0,44.29,35.0,3/20
2022,TS Mills,5,102,190,6,30,0,1,0,0,11.18,31.67,17.0,29.41,17.0,3/35
2022,TU Deshpande,2,42,63,1,18,0,0,0,0,9.0,63.0,42.0,42.86,7.0,1/40
2022,Tilak Varma,2,12,13,0,5,0,0,0,0,6.5,,,41.67,2.0,0/6
2022,UT Yadav,12,288,339,16,143,2,2,1,0,7.06,21.19,18.0,49.65,48.0,4/23
2022,Umran Malik,14,295,444,22,141,1,4,2,1,9.03,20.18,13.41,47.8,49.1,5/25
2022,V Shankar,2,9,15,0,4,0,0,0,0,10.0,,,44.44,1.3,0/1
2022,VG Arora,5,107,164,3,39,0,0,0,0,9.2,54.67,35.67,36.45,17.5,2/21
2022,VR Aaron,2,30,52,2,7,0,0,0,0,10.4,26.0,15.0,23.33,5.0,2/45
2022,VR Iyer,4,24,46,0,3,0,0,0,0,11.5,,,12.5,4.0,0/8
2022,Washington Sundar,8,168,239,6,47,0,0,0,0,8.54,39.83,28.0,27.98,28.0,2/21
2022,YBK Jaiswal,1,1,6,0,0,0,0,0,0,36.0,,,0.0,0.1,0/6
2022,YS Chahal,17,408,525,27,137,0,4,2,1,7.72,19.44,15.11,33.58,68.0,5/40
2022,Yash Dayal,9,192,295,11,76,0,1,0,0,9.22,26.82,17.45,39.58,32.0,3/40
2023,A Badoni,1,1,0,0,1,0,0,0,0,0.0,,,100.0,0.1,0/0
2023,A Mishra,7,114,149,7,32,0,0,0,0,7.84,21.29,16.29,28.07,19.0,2/21
2023,A Nortje,10,240,364,10,96,0,0,0,0,9.1,36.4,24.0,40.0,40.0,2/20
2023,A Zampa,6,132,188,8,40,0,1,0,0,8.55,23.5,16.5,30.3,22.0,3/22
2023,AD Russell,9,91,172,7,32,0,1,0,0,11.34,24.57,13.0,35.16,15.1,3/22
2023,AJ Hosein,1,24,40,1,6,0,0,0,0,10.0,40.0,24.0,25.0,4.0,1/40
2023,AK Markram,6,49,70,1,12,0,0,0,0,8.57,70.0,49.0,24.49,8.1,1/24
2023,AR Patel,13,282,337,11,105,0,0,0,0,7.17,30.64,25.64,37.23,47.0,2/13
2023,AS Joseph,7,144,225,7,57,0,0,0,0,9.38,32.14,20.57,39.58,24.0,2/27
2023,AS Roy,3,48,65,3,20,0,0,0,0,8.12,21.67,16.0,41.67,8.0,2/19
2023,AU Rashid,2,42,56,2,14,0,0,0,0,8.0,28.0,21.0,33.33,7.0,2/23
2023,Abhishek Sharma,5,72,124,2,23,0,0,0,0,10.33,62.0,36.0,31.94,12.0,1/26
2023,Akash Deep,2,30,59,1,11,0,0,0,0,11.8,59.0,30.0,36.67,5.0,1/29
2023,Akash Madhwal,8,153,219,14,53,0,3,2,1,8.59,15.64,10.93,34.64,25.3,5/5
2023,Akash Singh,6,114,188,5,46,0,0,0,0,9.89,37.6,22.8,40.35,19.0,2/40
2023,Arjun Tendulkar,4,59,92,3,26,0,0,0,0,9.36,30.67,19.67,44.07,9.5,1/9
2023,Arshad Khan,6,85,188,5,27,0,1,0,0,13.27,37.6,17.0,31.76,14.1,3/39
2023,Arshdeep Singh,14,305,493,17,114,0,2,1,0,9.7,29.0,17.94,37.38,50.5,4/29
2023,Avesh Khan,9,174,283,8,61,0,1,0,0,9.76,35.38,21.75,35.06,29.0,3/25
2023,B Kumar,14,306,423,16,128,1,1,1,1,8.29,26.44,19.12,41.83,51.0,5/30
